Layer_no,Layer_class,Layer_name,Neurons,Additions,Multiplications,Divisions,Comparasions,Connections
0,InputLayer,input_1,49152,0,0,0,0,0
1,Conv2D,Conv1,131072,3407872,3538944,0,0,3538944
2,BatchNormalization,bn_Conv1,0,0,0,0,0,0
3,ReLU,Conv1_relu,0,0,0,0,0,0
4,DepthwiseConv2D,expanded_conv_depthwise,0,0,0,0,0,0
5,BatchNormalization,expanded_conv_depthwise_BN,0,0,0,0,0,0
6,ReLU,expanded_conv_depthwise_relu,0,0,0,0,0,0
7,Conv2D,expanded_conv_project,65536,2031616,2097152,0,0,2097152
8,BatchNormalization,expanded_conv_project_BN,0,0,0,0,0,0
9,Conv2D,block_1_expand,393216,5898240,6291456,0,0,6291456
10,BatchNormalization,block_1_expand_BN,0,0,0,0,0,0
11,ReLU,block_1_expand_relu,0,0,0,0,0,0
12,ZeroPadding2D,block_1_pad,0,0,0,0,0,0
13,DepthwiseConv2D,block_1_depthwise,0,0,0,0,0,0
14,BatchNormalization,block_1_depthwise_BN,0,0,0,0,0,0
15,ReLU,block_1_depthwise_relu,0,0,0,0,0,0
16,Conv2D,block_1_project,24576,2334720,2359296,0,0,2359296
17,BatchNormalization,block_1_project_BN,0,0,0,0,0,0
18,Conv2D,block_2_expand,147456,3391488,3538944,0,0,3538944
19,BatchNormalization,block_2_expand_BN,0,0,0,0,0,0
20,ReLU,block_2_expand_relu,0,0,0,0,0,0
21,DepthwiseConv2D,block_2_depthwise,0,0,0,0,0,0
22,BatchNormalization,block_2_depthwise_BN,0,0,0,0,0,0
23,ReLU,block_2_depthwise_relu,0,0,0,0,0,0
24,Conv2D,block_2_project,24576,3514368,3538944,0,0,3538944
25,BatchNormalization,block_2_project_BN,0,0,0,0,0,0
26,Add,block_2_add,0,0,0,0,0,0
27,Conv2D,block_3_expand,147456,3391488,3538944,0,0,3538944
28,BatchNormalization,block_3_expand_BN,0,0,0,0,0,0
29,ReLU,block_3_expand_relu,0,0,0,0,0,0
30,ZeroPadding2D,block_3_pad,0,0,0,0,0,0
31,DepthwiseConv2D,block_3_depthwise,0,0,0,0,0,0
32,BatchNormalization,block_3_depthwise_BN,0,0,0,0,0,0
33,ReLU,block_3_depthwise_relu,0,0,0,0,0,0
34,Conv2D,block_3_project,8192,1171456,1179648,0,0,1179648
35,BatchNormalization,block_3_project_BN,0,0,0,0,0,0
36,Conv2D,block_4_expand,49152,1523712,1572864,0,0,1572864
37,BatchNormalization,block_4_expand_BN,0,0,0,0,0,0
38,ReLU,block_4_expand_relu,0,0,0,0,0,0
39,DepthwiseConv2D,block_4_depthwise,0,0,0,0,0,0
40,BatchNormalization,block_4_depthwise_BN,0,0,0,0,0,0
41,ReLU,block_4_depthwise_relu,0,0,0,0,0,0
42,Conv2D,block_4_project,8192,1564672,1572864,0,0,1572864
43,BatchNormalization,block_4_project_BN,0,0,0,0,0,0
44,Add,block_4_add,0,0,0,0,0,0
45,Conv2D,block_5_expand,49152,1523712,1572864,0,0,1572864
46,BatchNormalization,block_5_expand_BN,0,0,0,0,0,0
47,ReLU,block_5_expand_relu,0,0,0,0,0,0
48,DepthwiseConv2D,block_5_depthwise,0,0,0,0,0,0
49,BatchNormalization,block_5_depthwise_BN,0,0,0,0,0,0
50,ReLU,block_5_depthwise_relu,0,0,0,0,0,0
51,Conv2D,block_5_project,8192,1564672,1572864,0,0,1572864
52,BatchNormalization,block_5_project_BN,0,0,0,0,0,0
53,Add,block_5_add,0,0,0,0,0,0
54,Conv2D,block_6_expand,49152,1523712,1572864,0,0,1572864
55,BatchNormalization,block_6_expand_BN,0,0,0,0,0,0
56,ReLU,block_6_expand_relu,0,0,0,0,0,0
57,ZeroPadding2D,block_6_pad,0,0,0,0,0,0
58,DepthwiseConv2D,block_6_depthwise,0,0,0,0,0,0
59,BatchNormalization,block_6_depthwise_BN,0,0,0,0,0,0
60,ReLU,block_6_depthwise_relu,0,0,0,0,0,0
61,Conv2D,block_6_project,4096,782336,786432,0,0,786432
62,BatchNormalization,block_6_project_BN,0,0,0,0,0,0
63,Conv2D,block_7_expand,24576,1548288,1572864,0,0,1572864
64,BatchNormalization,block_7_expand_BN,0,0,0,0,0,0
65,ReLU,block_7_expand_relu,0,0,0,0,0,0
66,DepthwiseConv2D,block_7_depthwise,0,0,0,0,0,0
67,BatchNormalization,block_7_depthwise_BN,0,0,0,0,0,0
68,ReLU,block_7_depthwise_relu,0,0,0,0,0,0
69,Conv2D,block_7_project,4096,1568768,1572864,0,0,1572864
70,BatchNormalization,block_7_project_BN,0,0,0,0,0,0
71,Add,block_7_add,0,0,0,0,0,0
72,Conv2D,block_8_expand,24576,1548288,1572864,0,0,1572864
73,BatchNormalization,block_8_expand_BN,0,0,0,0,0,0
74,ReLU,block_8_expand_relu,0,0,0,0,0,0
75,DepthwiseConv2D,block_8_depthwise,0,0,0,0,0,0
76,BatchNormalization,block_8_depthwise_BN,0,0,0,0,0,0
77,ReLU,block_8_depthwise_relu,0,0,0,0,0,0
78,Conv2D,block_8_project,4096,1568768,1572864,0,0,1572864
79,BatchNormalization,block_8_project_BN,0,0,0,0,0,0
80,Add,block_8_add,0,0,0,0,0,0
81,Conv2D,block_9_expand,24576,1548288,1572864,0,0,1572864
82,BatchNormalization,block_9_expand_BN,0,0,0,0,0,0
83,ReLU,block_9_expand_relu,0,0,0,0,0,0
