Layer_no,Layer_class,Layer_name,Neurons,Additions,Multiplications,Divisions,Comparasions,Connections
0,InputLayer,input_4,97200,0,0,0,0,0
1,Sequential,sequential,0,0,0,0,0,0
2,TFOpLambda,tf.math.truediv,0,0,0,0,0,0
3,TFOpLambda,tf.math.subtract,0,0,0,0,0,0
4,Functional,xception,1828416,226227944,227462496,0,3973312,231932472
5,GlobalAveragePooling2D,global_average_pooling2d_2,2048,71680,0,2048,0,73728
6,Dense,dense_2,1024,2097152,2097152,0,0,2097152
7,Dropout,dropout_1,0,0,0,0,0,0
8,Dense,dense_3,512,524288,524288,0,0,524288
9,Dropout,dropout_2,0,0,0,0,0,0
10,Dense,dense_4,256,131072,131072,0,0,131072
11,Dropout,dropout_3,0,0,0,0,0,0
12,Dense,dense_5,120,30720,30720,0,0,30720
onv2D,conv2d_12,247808,15611904,15859712,0,0,15859712
13,MaxPooling2D,block2_pool,247808,0,0,0,1982464,2230272
14,BatchNormalization,batch_normalization_51,0,0,0,0,0,0
15,Add,add_16,0,0,0,0,0,0
16,Activation,block3_sepconv1_act,0,0,0,0,0,0
17,SeparableConv2D,block3_sepconv1,0,0,0,0,0,0
18,BatchNormalization,block3_sepconv1_bn,0,0,0,0,0,0
19,Activation,block3_sepconv2_act,0,0,0,0,0,0
20,SeparableConv2D,block3_sepconv2,0,0,0,0,0,0
21,BatchNormalization,block3_sepconv2_bn,0,0,0,0,0,0
22,Conv2D,conv2d_13,123904,15735808,15859712,0,0,15859712
23,MaxPooling2D,block3_pool,123904,0,0,0,991232,1115136
24,BatchNormalization,batch_normalization_52,0,0,0,0,0,0
25,Add,add_17,0,0,0,0,0,0
26,Activation,block4_sepconv1_act,0,0,0,0,0,0
27,SeparableConv2D,block4_sepconv1,0,0,0,0,0,0
28,BatchNormalization,block4_sepconv1_bn,0,0,0,0,0,0
29,Activation,block4_sepconv2_act,0,0,0,0,0,0
30,SeparableConv2D,block4_sepconv2,0,0,0,0,0,0
31,BatchNormalization,block4_sepconv2_bn,0,0,0,0,0,0
32,Conv2D,conv2d_14,88088,22462440,22550528,0,0,22550528
33,MaxPooling2D,block4_pool,88088,0,0,0,704704,792792
34,BatchNormalization,batch_normalization_53,0,0,0,0,0,0
35,Add,add_18,0,0,0,0,0,0
36,Activation,block5_sepconv1_act,0,0,0,0,0,0
37,SeparableConv2D,block5_sepconv1,0,0,0,0,0,0
38,BatchNormalization,block5_sepconv1_bn,0,0,0,0,0,0
39,Activation,block5_sepconv2_act,0,0,0,0,0,0
40,SeparableConv2D,block5_sepconv2,0,0,0,0,0,0
41,BatchNormalization,block5_sepconv2_bn,0,0,0,0,0,0
42,Activation,block5_sepconv3_act,0,0,0,0,0,0
43,SeparableConv2D,block5_sepconv3,0,0,0,0,0,0
44,BatchNormalization,block5_sepconv3_bn,0,0,0,0,0,0
45,Add,add_19,0,0,0,0,0,0
46,Activation,block6_sepconv1_act,0,0,0,0,0,0
47,SeparableConv2D,block6_sepconv1,0,0,0,0,0,0
48,BatchNormalization,block6_sepconv1_bn,0,0,0,0,0,0
49,Activation,block6_sepconv2_act,0,0,0,0,0,0
50,SeparableConv2D,block6_sepconv2,0,0,0,0,0,0
51,BatchNormalization,block6_sepconv2_bn,0,0,0,0,0,0
52,Activation,block6_sepconv3_act,0,0,0,0,0,0
53,SeparableConv2D,block6_sepconv3,0,0,0,0,0,0
54,BatchNormalization,block6_sepconv3_bn,0,0,0,0,0,0
55,Add,add_20,0,0,0,0,0,0
56,Activation,block7_sepconv1_act,0,0,0,0,0,0
